,day,true,predict,time_1,time_2,time_3,mse,mad
0,2021-09-01,366.75,116.8162680651792,1,0,0,62466.870358866865,249.9337319348208
1,2021-09-01,1222.09,823.4945185847041,0,1,0,158878.35780469142,398.5954814152958
2,2021-09-01,545.25,389.60978803483795,0,0,1,24223.875580560572,155.64021196516205
3,2021-09-02,352.0,115.08517438725167,1,0,0,56128.63459511895,236.91482561274833
4,2021-09-02,1148.37,835.0574819309962,0,1,0,98164.73397873975,313.31251806900366
5,2021-09-02,500.0,446.77742625033085,0,0,1,2832.642356538972,53.22257374966915
6,2021-09-03,346.44,168.03392964200182,1,0,0,31828.725940582994,178.40607035799817
7,2021-09-03,1094.6,830.9716732375167,0,1,0,69499.89467158662,263.6283267624832
8,2021-09-03,484.21000000000004,441.0533978503095,0,0,1,1862.4923091066719,43.156602149690514
9,2021-09-04,325.97,163.71106839927307,1,0,0,26327.960884209388,162.25893160072695
10,2021-09-04,478.85,841.7143881440575,0,1,0,131670.5641831612,362.86438814405744
11,2021-09-04,364.97,518.653322894703,0,0,1,23618.56373595754,153.683322894703
12,2021-09-05,328.06,196.23782860059666,1,0,0,17377.084872453674,131.82217139940335
13,2021-09-05,479.31,827.7931189519304,0,1,0,121440.48419446527,348.4831189519304
14,2021-09-05,363.38,400.8174924827512,0,0,1,1401.5658433960543,37.437492482751225
15,2021-09-06,356.21,115.45676525135221,1,0,0,57962.1200419375,240.75323474864777
16,2021-09-06,1158.16,829.435708709894,0,1,0,108059.65968418251,328.72429129010607
17,2021-09-06,516.19,479.4317159718882,0,0,1,1351.1714446913434,36.75828402811186
18,2021-09-07,349.25,178.13051957859702,1,0,0,29281.876579690917,171.11948042140298
19,2021-09-07,1159.28,825.4269421362741,0,1,0,111457.8642449603,333.8530578637259
20,2021-09-07,487.25,393.75983520311587,0,0,1,8740.410913748552,93.49016479688413
21,2021-09-08,328.87,125.91276252978793,1,0,0,41191.64024154006,202.95723747021208
22,2021-09-08,1294.16,823.6818964996265,0,1,0,221349.6458733082,470.47810350037355
23,2021-09-08,558.0,389.8927390165469,0,0,1,28260.051195358814,168.1072609834531
24,2021-09-09,359.5,83.78903252995902,1,0,0,76016.537583266,275.710967470041
25,2021-09-09,1180.25,825.6021047016208,0,1,0,125775.12963957016,354.64789529837924
26,2021-09-09,525.31,385.2166035684061,0,0,1,19626.159723739718,140.09339643159387
27,2021-09-10,341.82,72.6731186633979,1,0,0,72440.04373321895,269.14688133660206
28,2021-09-10,1152.06,823.8621451789467,0,1,0,107713.83190914117,328.1978548210533
29,2021-09-10,538.72,378.5326266176033,0,0,1,25659.99459115139,160.18737338239674
30,2021-09-11,331.25,93.22539469095679,1,0,0,56655.712732525804,238.0246053090432
31,2021-09-11,913.84,835.2922859095067,0,1,0,6169.743388841877,78.54771409049329
32,2021-09-13,1122.97,826.0627594826598,0,1,0,88153.90947162174,296.90724051734026
33,2021-09-13,898.03,385.8709580410027,0,0,1,262306.8842603579,512.1590419589972
34,2021-09-14,347.0,155.5442457883861,1,0,0,36655.305820737914,191.4557542116139
35,2021-09-14,1037.32,827.7525750595504,0,1,0,43918.50559617095,209.56742494044954
36,2021-09-14,486.78,400.26136739763734,0,0,1,7485.473787382605,86.51863260236263
37,2021-09-15,324.84000000000003,186.92883279204665,1,0,0,19019.490040660075,137.91116720795338
38,2021-09-15,1279.41,831.8745203111754,0,1,0,200288.00558030643,447.5354796888247
39,2021-09-15,494.44,456.89821821106557,0,0,1,1409.3853798879688,37.54178178893443
40,2021-09-16,361.43,193.85374148414886,1,0,0,28081.802418171377,167.57625851585115
41,2021-09-16,1077.91,838.4020307143885,0,1,0,57364.06735131746,239.50796928561158
42,2021-09-16,498.5,456.48818166855085,0,0,1,1764.9928795146868,42.01181833144915
43,2021-09-17,309.97,172.91035416400072,1,0,0,18785.346516689562,137.0596458359993
44,2021-09-17,1095.15,838.5973458964888,0,1,0,65819.2643275559,256.55265410351126
45,2021-09-17,551.97,458.4471306481815,0,0,1,8746.52709179732,93.52286935181854
46,2021-09-18,294.35,163.09655611349004,1,0,0,17227.466532069226,131.25344388650998
47,2021-09-18,429.5,831.9331108794594,0,1,0,161952.40873211925,402.4331108794594
48,2021-09-18,342.87,428.51322981097894,0,0,1,7334.762812456152,85.64322981097894
49,2021-09-19,310.94,130.08943989430364,1,0,0,32706.925090544093,180.85056010569636
50,2021-09-19,312.13,424.0057140139532,0,0,1,12516.175386131845,111.8757140139532
51,2021-09-20,310.81,165.21426337763538,1,0,0,21198.11852260897,145.59573662236463
52,2021-09-20,337.57,390.48427949880784,0,0,1,2799.9209748779563,52.91427949880784
53,2021-09-21,303.59000000000003,135.9165086842862,1,0,0,28114.39969000076,167.67349131571382
54,2021-09-21,322.68,462.5595675956579,0,0,1,19566.29343074822,139.87956759565787
55,2021-09-22,317.46999999999997,191.59946603189795,1,0,0,15843.391321415125,125.87053396810202
56,2021-09-22,1262.38,827.799426146755,0,1,0,188860.27517061585,434.58057385324514
57,2021-09-22,694.43,429.3708136951218,0,0,1,70256.3722446041,265.05918630487815
58,2021-09-23,326.65999999999997,354.26223596400183,1,0,0,761.8834302124379,27.602235964001864
59,2021-09-23,1697.97,1047.1534043344113,0,1,0,423562.24119374633,650.8165956655887
60,2021-09-23,710.94,607.6067455400499,0,0,1,10677.761477284803,103.33325445995013
61,2021-09-24,1678.93,1048.0577672402885,0,1,0,397999.77406722365,630.8722327597116
62,2021-09-24,684.19,647.9298418666282,0,0,1,1314.7990678571346,36.260158133371874
63,2021-09-25,342.44,132.1999412909473,1,0,0,44200.88228598593,210.2400587090527
64,2021-09-25,1152.69,838.717817766091,0,1,0,98578.531216723,313.97218223390905
65,2021-09-25,620.37,467.86647150013056,0,0,1,23257.326204910492,152.50352849986945
66,2021-09-26,337.31,173.60635489356596,1,0,0,26798.883421133305,163.70364510643404
67,2021-09-26,410.6,838.6474877167276,0,1,0,183224.65174060204,428.0474877167276
68,2021-09-26,338.25,462.35289510003054,0,0,1,15401.528572209183,124.10289510003054
69,2021-09-27,341.75,336.64460252155953,1,0,0,26.06508341286627,5.105397478440466
70,2021-09-27,1235.06,1048.5487968859686,0,1,0,34786.428887043454,186.51120311403133
71,2021-09-27,574.5600000000001,661.9578745434134,0,0,1,7638.388474706212,87.39787454341331
72,2021-09-28,347.94,390.62483858266546,1,0,0,1821.9954448282062,42.68483858266546
73,2021-09-28,1041.19,1048.7027122097022,0,1,0,56.44084474580789,7.512712209702158
74,2021-09-28,598.87,684.4056928800038,0,0,1,7316.354756462334,85.53569288000381
75,2021-09-29,348.22,460.5920873925966,1,0,0,12627.486024969367,112.3720873925966
76,2021-09-29,1387.53,1048.0425691724406,0,1,0,115251.71568989691,339.48743082755936
77,2021-09-29,796.06,666.981067651982,0,0,1,16661.370776104188,129.07893234801793
78,2021-09-30,336.44,437.8305995020288,1,0,0,10280.053667380804,101.3905995020288
79,2021-09-30,1130.91,1048.0844296728164,0,1,0,6860.075100023243,82.82557032718364
80,2021-09-30,700.44,644.0702134610481,0,0,1,3177.552834447012,56.369786538951985
81,2021-10-01,332.59,359.35128739731937,1,0,0,716.1665031619258,26.761287397319393
82,2021-10-01,941.19,1049.5435843816713,0,1,0,11740.499248355947,108.35358438167123
83,2021-10-01,516.72,662.4334232229613,0,0,1,21232.401707353838,145.7134232229613
84,2021-10-02,321.0,180.61309107598822,1,0,0,19708.484197238777,140.38690892401178
85,2021-10-02,758.71,836.3187649813742,0,1,0,6023.120401934171,77.60876498137418
86,2021-10-02,396.29,462.5613938681635,0,0,1,4391.897645229259,66.2713938681635
87,2021-10-03,296.56,136.48915732087826,1,0,0,25622.674676004142,160.07084267912174
88,2021-10-03,565.09,833.0036276232428,0,1,0,71777.71186624558,267.91362762324275
89,2021-10-03,390.35,424.0756622724233,0,0,1,1137.4202957135549,33.72566227242328
90,2021-10-04,314.15,281.08488102457346,1,0,0,1093.3020928591106,33.065118975426515
91,2021-10-04,1408.63,1047.3885032856542,0,1,0,130495.41894842077,361.2414967143459
92,2021-10-04,861.18,625.8099051097097,0,0,1,55399.08156866424,235.37009489029026
93,2021-10-05,363.35,320.1234284638186,1,0,0,1868.5364867726114,43.22657153618144
94,2021-10-05,960.9,1048.0124878552,0,1,0,7588.58554032239,87.11248785520013
95,2021-10-05,545.32,649.6381981059242,0,0,1,10882.286456066831,104.31819810592413
96,2021-10-06,341.0,326.74951111722135,1,0,0,203.07643339819802,14.250488882778654
97,2021-10-06,1199.81,1048.13569513775,0,1,0,23005.09475544675,151.67430486224998
98,2021-10-06,708.91,618.8617359458989,0,0,1,8108.6898591571135,90.04826405410108
99,2021-10-07,359.71,276.9167252112869,1,0,0,6854.72635023935,82.79327478871306
100,2021-10-07,1244.19,1047.508917568313,0,1,0,38683.448186500034,196.68108243168695
101,2021-10-07,826.03,618.4753956886193,0,0,1,43078.913770853804,207.55460431138067
